marca,modelo,mes_matriculacion,ano_matriculacion,kilometraje,distintivo_ambiental,garantia,precio_nuevo,precio_contado,concesionario,provincia,comunidad_autonoma,tipo_traccion,largo,ancho,alto,capacidad_maletero,num_plazas,num_puertas,batalla,peso,consumo_medio,consumo_carretera,consumo_urbano,co2,deposito,combustible,num_cilindros,cilindrada,sobrealimentacion,tipo_cambio,num_marchas,potencia_kw,potencia_cv,par,velocidad_max,aceleracion
MINI,COUNTRYMAN,1,2020,83093.0,0 EMISIONES,12.0,40900.00,21890.00,AUTOS MOLIERE,Málaga,Andalucía,total permanente,4299.0,1822.0,1559.0,405.0,5.0,5.0,2670.0,2270.0,2.10,,,43.00,36.00,Híbrido Enchufable,3.0,1499.0,Turbo,Automático,6.0,165.0,224.0,385.0,198.0,6.80
FORD,KUGA,2,2023,63104.0,C,12.0,41888.00,22890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4614.0,1883.0,1678.0,456.0,5.0,5.0,2710.0,2075.0,5.50,4.90,6.50,129.00,60.00,Gasolina,3.0,1498.0,Turbo,Manual,6.0,110.0,150.0,240.0,195.0,9.70
VOLKSWAGEN,T-ROC,8,2019,93084.0,C,12.0,25697.00,20890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4234.0,1819.0,1573.0,445.0,5.0,5.0,2590.0,1780.0,5.10,4.50,6.00,123.00,50.00,Gasolina,3.0,,Turbo,Manual,6.0,85.0,115.0,200.0,187.0,10.10
VOLKSWAGEN,POLO,9,2022,49100.0,C,12.0,26639.00,19890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4074.0,1751.0,1451.0,351.0,5.0,5.0,2548.0,1640.0,,,,,40.00,Gasolina,3.0,,Turbo,Manual,7.0,70.0,95.0,175.0,187.0,10.80
AUDI,Q2,6,2020,77394.0,C,12.0,30256.00,21890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4191.0,1794.0,1508.0,405.0,5.0,5.0,2601.0,1870.0,4.50,4.20,5.40,118.00,50.00,Diesel,4.0,1598.0,Turbo,Automático,7.0,85.0,116.0,250.0,197.0,10.30
AUDI,A5,8,2020,82969.0,C,12.0,88296.00,57890.00,AUTOS MOLIERE,Málaga,Andalucía,total permanente,4692.0,1846.0,1382.0,380.0,4.0,2.0,2765.0,2340.0,7.70,6.20,10.20,175.00,58.00,Gasolina,6.0,2995.0,Turbo de geometría variable,Automático,8.0,260.0,354.0,500.0,250.0,5.10
AUDI,Q2,6,2019,73636.0,C,12.0,30256.00,22480.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4191.0,1794.0,1508.0,405.0,5.0,5.0,2601.0,1870.0,4.50,4.20,5.40,118.00,50.00,Diesel,4.0,1598.0,Turbo,Automático,7.0,85.0,116.0,250.0,197.0,10.30
AUDI,A5,5,2023,33167.0,,12.0,,57000.00,AUDI HUERTAS MOTOR MURCIA,Murcia,Murcia,,,,,,,5.0,,,,,,,,Diesel,,,,Automático,,,204.0,,,
AUDI,Q2,8,2019,79763.0,C,12.0,28249.00,19890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4191.0,1794.0,1508.0,405.0,5.0,5.0,2601.0,1765.0,5.30,4.70,6.30,118.00,50.00,Gasolina,3.0,,Turbo,Manual,6.0,85.0,116.0,200.0,197.0,10.10
LYNK & CO,01,7,2022,59626.0,0 EMISIONES,12.0,44500.00,24890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4541.0,1952.0,1694.0,466.0,5.0,5.0,2734.0,2350.0,,,,,42.00,Híbrido Enchufable,3.0,1477.0,Turbo,Automático,7.0,192.0,261.0,425.0,210.0,8.00
BMW,X7,7,2020,109217.0,C,12.0,101200.00,61890.00,AUTOS MOLIERE,Málaga,Andalucía,total permanente,5151.0,2000.0,1805.0,750.0,7.0,5.0,3105.0,3220.0,6.50,6.10,7.30,171.00,80.00,Diesel,6.0,2993.0,Turbo de geometría variable,Automático,8.0,195.0,265.0,620.0,227.0,7.00
SEAT,LEÓN,3,2021,47826.0,C,12.0,28800.00,20890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4368.0,1800.0,1442.0,380.0,5.0,5.0,2684.0,1840.0,5.30,4.50,6.60,121.00,45.00,Gasolina,4.0,1498.0,Turbo de geometría variable,Manual,6.0,110.0,150.0,250.0,221.0,8.40
MERCEDES-BENZ,CLASE GLA,1,2017,93875.0,C,12.0,34025.00,21480.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4424.0,1804.0,1494.0,421.0,5.0,5.0,2699.0,2035.0,4.20,3.50,5.40,110.00,50.00,Diesel,4.0,2143.0,Turbo de geometría variable,Manual,6.0,100.0,136.0,300.0,205.0,9.50
LYNK & CO,01,6,2022,78782.0,0 EMISIONES,12.0,44500.00,23480.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4541.0,1952.0,1694.0,466.0,5.0,5.0,2734.0,2350.0,,,,,42.00,Híbrido Enchufable,3.0,1477.0,Turbo,Automático,7.0,192.0,261.0,425.0,210.0,8.00
LYNK & CO,01,6,2022,74316.0,0 EMISIONES,12.0,44500.00,23690.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4541.0,1952.0,1694.0,466.0,5.0,5.0,2734.0,2350.0,,,,,42.00,Híbrido Enchufable,3.0,1477.0,Turbo,Automático,7.0,192.0,261.0,425.0,210.0,8.00
MERCEDES-BENZ,CLASE GLC,1,2020,87674.0,C,12.0,59931.00,45890.00,AUTOS MOLIERE,Málaga,Andalucía,total permanente,4742.0,1890.0,1602.0,500.0,5.0,5.0,2873.0,2500.0,5.20,3.60,6.80,137.00,66.00,Diesel,4.0,1950.0,Turbo de geometría variable,Automático,9.0,143.0,194.0,400.0,217.0,7.90
TOYOTA,VERSO,5,2016,87800.0,C,,25400.00,14990.00,HERNAN OCASION,Madrid,Madrid,delantera,4460.0,1791.0,1630.0,155.0,7.0,5.0,2780.0,2125.0,6.50,5.80,8.50,150.00,60.00,Gasolina,4.0,1798.0,,Automático,7.0,108.0,147.0,180.0,185.0,11.10
DACIA,SANDERO,2,2023,19800.0,ECO,,,16290.00,HERNAN OCASION,Madrid,Madrid,,,,,,,5.0,,,,,,,,Gas,,1000.0,,Manual,,,101.0,,,
MERCEDES-BENZ,CLASE GLC,1,2021,73947.0,0 EMISIONES,12.0,68396.00,48890.00,AUTOS MOLIERE,Málaga,Andalucía,total permanente,4669.0,1890.0,1664.0,550.0,5.0,5.0,2873.0,2650.0,,,,48.00,66.00,Híbrido Enchufable,4.0,1950.0,Turbo de geometría variable,Automático,9.0,225.0,306.0,700.0,230.0,6.20
SEAT,IBIZA,7,2023,23179.0,C,12.0,24110.00,17890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4059.0,1780.0,1447.0,355.0,5.0,5.0,2564.0,1690.0,,,,,40.00,Gasolina,3.0,,Turbo,Manual,6.0,81.0,110.0,200.0,195.0,10.30
FORD,FIESTA,9,2021,45900.0,C,,19195.00,11490.00,HERNAN OCASION,Madrid,Madrid,delantera,4040.0,1735.0,1466.0,292.0,5.0,5.0,2493.0,1650.0,4.30,3.60,5.40,113.00,42.00,Gasolina,3.0,,Turbo,Manual,6.0,92.0,125.0,170.0,195.0,9.90
FIAT,500,1,2023,39318.0,ECO,12.0,19300.00,11790.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,3571.0,1627.0,1488.0,185.0,4.0,3.0,2300.0,1055.0,,,,,35.00,Gasolina,3.0,,Turbo,Manual,6.0,52.0,70.0,92.0,167.0,13.80
FIAT,500,1,2023,38363.0,ECO,12.0,19300.00,11890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,3571.0,1627.0,1488.0,185.0,4.0,3.0,2300.0,1055.0,,,,,35.00,Gasolina,3.0,,Turbo,Manual,6.0,52.0,70.0,92.0,167.0,13.80
LAND-ROVER,RANGE ROVER VELAR,3,2019,95595.0,C,12.0,78400.00,34890.00,AUTOS MOLIERE,Málaga,Andalucía,total permanente,4803.0,2032.0,1665.0,673.0,5.0,5.0,2874.0,2470.0,7.80,6.90,9.50,182.00,63.00,Gasolina,4.0,1997.0,Turbo,Automático,8.0,221.0,300.0,400.0,234.0,5.70
MG,HS,6,2023,22448.0,0 EMISIONES,12.0,38690.00,24390.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4574.0,1876.0,1664.0,448.0,5.0,5.0,2720.0,2196.0,,,,,37.00,Híbrido Enchufable,4.0,1490.0,Turbo,Automático,10.0,119.0,162.0,250.0,118.0,7.10
CITROEN,C-ELYSÉE,1,2020,91850.0,C,,17242.00,9690.00,HERNAN OCASION,Madrid,Madrid,delantera,4419.0,1748.0,1466.0,506.0,5.0,4.0,2652.0,1590.0,3.90,3.40,4.80,97.00,50.00,Diesel,4.0,1499.0,Turbo de geometría variable,Manual,6.0,75.0,100.0,250.0,190.0,10.10
FIAT,500,8,2022,30280.0,ECO,12.0,19300.00,11890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,3571.0,1627.0,1488.0,185.0,4.0,3.0,2300.0,1055.0,,,,,35.00,Gasolina,3.0,,Turbo,Manual,6.0,52.0,70.0,92.0,167.0,13.80
MERCEDES-BENZ,CLASE GLB,4,2021,58762.0,C,12.0,46990.00,41890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4634.0,1834.0,1659.0,570.0,5.0,5.0,,2195.0,4.80,3.40,6.20,126.00,52.00,Diesel,4.0,1950.0,Turbo de geometría variable,Automático,8.0,110.0,150.0,320.0,204.0,9.00
TOYOTA,C-HR,1,2020,74247.0,ECO,12.0,28990.00,20890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4360.0,1795.0,1555.0,377.0,5.0,5.0,2640.0,1860.0,4.00,3.40,3.80,86.00,43.00,Híbrido Enchufable,4.0,1798.0,,Automático,1.0,90.0,122.0,,170.0,11.00
SKODA,KAMIQ,9,2021,49978.0,C,12.0,28589.00,17890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4241.0,1793.0,1553.0,400.0,5.0,5.0,2651.0,1732.0,,,,108.00,50.00,Gasolina,3.0,,Turbo,Automático,7.0,81.0,110.0,200.0,193.0,10.00
MERCEDES-BENZ,CLASE GLB,4,2021,69992.0,C,12.0,49491.00,39890.00,AUTOS MOLIERE,Málaga,Andalucía,total permanente,4634.0,1834.0,1659.0,570.0,5.0,5.0,,2250.0,5.00,3.50,6.50,132.00,60.00,Diesel,4.0,1950.0,Turbo de geometría variable,Automático,8.0,110.0,150.0,320.0,204.0,9.00
MERCEDES-BENZ,CLASE B,6,2021,127471.0,C,12.0,37595.00,21890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4419.0,1796.0,1562.0,455.0,5.0,5.0,2699.0,2075.0,,,,,43.00,Diesel,4.0,1950.0,Turbo de geometría variable,Automático,8.0,85.0,116.0,280.0,200.0,9.80
CUPRA,FORMENTOR,6,2022,93791.0,C,12.0,38680.00,22980.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4446.0,1839.0,1520.0,450.0,5.0,5.0,2679.0,1980.0,5.50,5.00,6.50,126.00,50.00,Gasolina,4.0,1498.0,Turbo,Automático,7.0,110.0,150.0,250.0,203.0,8.90
MG,HS,4,2023,24711.0,0 EMISIONES,12.0,38690.00,23890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4574.0,1876.0,1664.0,448.0,5.0,5.0,2720.0,2196.0,,,,,37.00,Híbrido Enchufable,4.0,1490.0,Turbo,Automático,10.0,119.0,162.0,250.0,118.0,7.10
BMW,SERIE 2,5,2021,96802.0,C,12.0,36000.00,27890.00,AUTOS MOLIERE,Málaga,Andalucía,trasera,4432.0,1774.0,1418.0,390.0,4.0,2.0,2690.0,1930.0,6.80,5.50,9.10,157.00,52.00,Gasolina,4.0,1998.0,Turbo,Manual,6.0,100.0,136.0,220.0,210.0,8.80
CUPRA,LEÓN,2,2022,102645.0,0 EMISIONES,12.0,48580.00,24480.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4657.0,1799.0,1463.0,470.0,5.0,5.0,2681.0,2090.0,1.60,,,35.00,40.00,Híbrido Enchufable,4.0,1395.0,Turbo de geometría variable,Automático,6.0,180.0,245.0,400.0,225.0,7.00
SEAT,LEÓN,1,2023,50242.0,C,12.0,28880.00,17890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4642.0,1799.0,1450.0,620.0,5.0,5.0,2686.0,1900.0,,,,,45.00,Gasolina,3.0,,Turbo de geometría variable,Manual,6.0,81.0,110.0,200.0,199.0,11.30
SEAT,ATECA,1,2023,64985.0,C,12.0,37500.00,23680.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4381.0,1841.0,1601.0,510.0,5.0,5.0,2638.0,1940.0,,,,,50.00,Gasolina,4.0,1498.0,Turbo de geometría variable,Automático,7.0,110.0,150.0,250.0,202.0,9.00
SEAT,ATECA,2,2023,49943.0,C,12.0,37500.00,23890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4381.0,1841.0,1601.0,510.0,5.0,5.0,2638.0,1940.0,,,,,50.00,Gasolina,4.0,1498.0,Turbo de geometría variable,Automático,7.0,110.0,150.0,250.0,202.0,9.00
FIAT,500,1,2023,33786.0,ECO,12.0,19300.00,11890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,3571.0,1627.0,1488.0,185.0,4.0,3.0,2300.0,1055.0,,,,,35.00,Gasolina,3.0,,Turbo,Manual,6.0,52.0,70.0,92.0,167.0,13.80
CUPRA,FORMENTOR,6,2022,41361.0,C,12.0,44970.00,26890.00,AUTOS MOLIERE,Málaga,Andalucía,total conectable,4450.0,1839.0,1511.0,420.0,5.0,5.0,2680.0,2110.0,,,,,55.00,Gasolina,4.0,1984.0,Turbo,Automático,7.0,140.0,190.0,320.0,220.0,7.10
SEAT,ATECA,2,2023,46394.0,C,12.0,37500.00,25690.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4381.0,1841.0,1601.0,510.0,5.0,5.0,2638.0,1940.0,,,,,50.00,Gasolina,4.0,1498.0,Turbo de geometría variable,Automático,7.0,110.0,150.0,250.0,202.0,9.00
FIAT,500,5,2022,25199.0,ECO,12.0,19300.00,11390.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,3571.0,1627.0,1488.0,185.0,4.0,3.0,2300.0,1055.0,,,,,35.00,Gasolina,3.0,,Turbo,Manual,6.0,52.0,70.0,92.0,167.0,13.80
RENAULT,CLIO,5,2021,69980.0,C,12.0,19760.00,14690.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4050.0,1798.0,1440.0,340.0,5.0,5.0,2583.0,1603.0,,,,,42.00,Gasolina,3.0,,Turbo,Manual,6.0,67.0,90.0,160.0,180.0,12.20
SEAT,ATECA,2,2023,48576.0,C,12.0,34910.00,23590.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4381.0,1841.0,1601.0,510.0,5.0,5.0,2638.0,1930.0,,,,,50.00,Gasolina,4.0,1498.0,Turbo de geometría variable,Manual,6.0,110.0,150.0,250.0,202.0,9.00
SEAT,ATECA,2,2023,51954.0,C,12.0,37100.00,23890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4381.0,1841.0,1601.0,510.0,5.0,5.0,2638.0,1930.0,,,,,50.00,Gasolina,4.0,1498.0,Turbo de geometría variable,Manual,6.0,110.0,150.0,250.0,202.0,9.00
HYUNDAI,TUCSON,1,2024,49281.0,C,12.0,30725.00,23480.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4500.0,1865.0,1650.0,577.0,5.0,5.0,2680.0,2065.0,,,,121.00,54.00,Gasolina,4.0,1598.0,Turbo,Manual,6.0,110.0,150.0,250.0,189.0,10.30
RENAULT,CLIO,5,2021,73233.0,C,12.0,19760.00,14390.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4050.0,1798.0,1440.0,340.0,5.0,5.0,2583.0,1603.0,,,,,42.00,Gasolina,3.0,,Turbo,Manual,6.0,67.0,90.0,160.0,180.0,12.20
AUDI,A5,12,2023,15520.0,,12.0,,58000.00,AUDI HUERTAS MOTOR MURCIA,Murcia,Murcia,,,,,,,5.0,,,,,,,,Diesel,,,,Automático,,,204.0,,,
MG,HS,6,2023,26995.0,0 EMISIONES,12.0,38690.00,23580.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4574.0,1876.0,1664.0,448.0,5.0,5.0,2720.0,2196.0,,,,,37.00,Híbrido Enchufable,4.0,1490.0,Turbo,Automático,10.0,119.0,162.0,250.0,118.0,7.10
RENAULT,CLIO,5,2021,85153.0,C,12.0,19760.00,13790.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4050.0,1798.0,1440.0,340.0,5.0,5.0,2583.0,1603.0,,,,,42.00,Gasolina,3.0,,Turbo,Manual,6.0,67.0,90.0,160.0,180.0,12.20
CUPRA,FORMENTOR,6,2022,32660.0,C,12.0,44970.00,27890.00,AUTOS MOLIERE,Málaga,Andalucía,total conectable,4450.0,1839.0,1511.0,420.0,5.0,5.0,2680.0,2110.0,,,,,55.00,Gasolina,4.0,1984.0,Turbo,Automático,7.0,140.0,190.0,320.0,220.0,7.10
RENAULT,ARKANA,1,2023,69932.0,ECO,12.0,32780.00,22890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4568.0,1821.0,1576.0,480.0,5.0,5.0,2720.0,1961.0,,,,,50.00,Híbrido Enchufable,4.0,1598.0,Turbo,Automático,4.0,105.0,145.0,148.0,172.0,10.80
SEAT,ATECA,2,2023,49955.0,C,12.0,34910.00,22890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4381.0,1841.0,1601.0,510.0,5.0,5.0,2638.0,1930.0,,,,,50.00,Gasolina,4.0,1498.0,Turbo de geometría variable,Manual,6.0,110.0,150.0,250.0,202.0,9.00
MG,HS,6,2023,19997.0,0 EMISIONES,12.0,38690.00,23790.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4574.0,1876.0,1664.0,448.0,5.0,5.0,2720.0,2196.0,,,,,37.00,Híbrido Enchufable,4.0,1490.0,Turbo,Automático,10.0,119.0,162.0,250.0,118.0,7.10
MG,HS,1,2024,999.0,0 EMISIONES,12.0,36190.00,24890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4574.0,1876.0,1664.0,448.0,5.0,5.0,2720.0,2196.0,,,,,37.00,Híbrido Enchufable,4.0,1490.0,Turbo,Automático,10.0,119.0,162.0,250.0,118.0,7.10
RENAULT,CLIO,5,2021,74853.0,C,12.0,19760.00,13890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4050.0,1798.0,1440.0,340.0,5.0,5.0,2583.0,1603.0,,,,,42.00,Gasolina,3.0,,Turbo,Manual,6.0,67.0,90.0,160.0,180.0,12.20
RENAULT,CLIO,5,2021,69722.0,C,12.0,19760.00,14580.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4050.0,1798.0,1440.0,340.0,5.0,5.0,2583.0,1603.0,,,,,42.00,Gasolina,3.0,,Turbo,Manual,6.0,67.0,90.0,160.0,180.0,12.20
SEAT,ATECA,2,2023,47054.0,C,12.0,34910.00,23690.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4381.0,1841.0,1601.0,510.0,5.0,5.0,2638.0,1930.0,,,,,50.00,Gasolina,4.0,1498.0,Turbo de geometría variable,Manual,6.0,110.0,150.0,250.0,202.0,9.00
FORD,FOCUS,12,2021,39295.0,C,12.0,43567.00,26890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4393.0,1848.0,1454.0,358.0,5.0,5.0,2700.0,2062.0,,,,,52.00,Gasolina,4.0,2261.0,Turbo,Manual,6.0,206.0,280.0,420.0,250.0,5.70
CUPRA,FORMENTOR,6,2022,43181.0,C,12.0,44970.00,26890.00,AUTOS MOLIERE,Málaga,Andalucía,total conectable,4450.0,1839.0,1511.0,420.0,5.0,5.0,2680.0,2110.0,,,,,55.00,Gasolina,4.0,1984.0,Turbo,Automático,7.0,140.0,190.0,320.0,220.0,7.10
KGM / SSANGYONG,TIVOLI,6,2023,33000.0,C,12.0,25900.00,16890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4480.0,1810.0,1646.0,720.0,5.0,5.0,2600.0,1860.0,6.90,6.10,8.30,152.00,50.00,Gasolina,4.0,1497.0,Turbo,Manual,6.0,120.0,163.0,280.0,181.0,
MERCEDES-BENZ,CLASE A,8,2019,83453.0,C,12.0,38438.00,25890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4419.0,1796.0,1440.0,345.0,5.0,5.0,2729.0,1995.0,4.20,3.70,5.00,110.00,43.00,Diesel,4.0,1950.0,Turbo de geometría variable,Automático,8.0,110.0,150.0,320.0,220.0,8.10
BMW,SERIE 2,5,2022,79205.0,C,12.0,33800.00,28480.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4568.0,1800.0,1608.0,645.0,5.0,5.0,2780.0,2165.0,4.50,4.00,5.20,116.00,51.00,Diesel,4.0,1995.0,Turbo de geometría variable,Manual,6.0,110.0,150.0,350.0,198.0,9.40
KIA,STONIC,7,2023,28578.0,C,12.0,22975.00,15680.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4140.0,1760.0,1500.0,352.0,5.0,5.0,2580.0,1600.0,,,,123.00,45.00,Gasolina,4.0,1197.0,,Manual,5.0,62.0,84.0,118.0,165.0,13.50
LYNK & CO,01,6,2022,65280.0,0 EMISIONES,12.0,44500.00,23890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4541.0,1952.0,1694.0,466.0,5.0,5.0,2734.0,2350.0,,,,,42.00,Híbrido Enchufable,3.0,1477.0,Turbo,Automático,7.0,192.0,261.0,425.0,210.0,8.00
LYNK & CO,01,6,2022,65358.0,0 EMISIONES,12.0,44500.00,23890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4541.0,1952.0,1694.0,466.0,5.0,5.0,2734.0,2350.0,,,,,42.00,Híbrido Enchufable,3.0,1477.0,Turbo,Automático,7.0,192.0,261.0,425.0,210.0,8.00
SEAT,IBIZA,1,2021,89338.0,C,12.0,20580.00,12890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4059.0,1780.0,1444.0,355.0,5.0,5.0,2564.0,1670.0,4.60,4.00,5.60,105.00,40.00,Gasolina,3.0,,Turbo,Manual,6.0,81.0,110.0,200.0,195.0,10.20
LYNK & CO,01,6,2022,79420.0,0 EMISIONES,12.0,44500.00,22980.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4541.0,1952.0,1694.0,466.0,5.0,5.0,2734.0,2350.0,,,,,42.00,Híbrido Enchufable,3.0,1477.0,Turbo,Automático,7.0,192.0,261.0,425.0,210.0,8.00
KIA,STONIC,7,2023,32180.0,C,12.0,22975.00,15480.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4140.0,1760.0,1500.0,352.0,5.0,5.0,2580.0,1600.0,,,,123.00,45.00,Gasolina,4.0,1197.0,,Manual,5.0,62.0,84.0,118.0,165.0,13.50
SEAT,IBIZA,1,2021,91890.0,C,12.0,20580.00,12890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4059.0,1780.0,1444.0,355.0,5.0,5.0,2564.0,1670.0,4.60,4.00,5.60,105.00,40.00,Gasolina,3.0,,Turbo,Manual,6.0,81.0,110.0,200.0,195.0,10.20
SEAT,IBIZA,1,2021,83398.0,C,12.0,20580.00,12380.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4059.0,1780.0,1444.0,355.0,5.0,5.0,2564.0,1670.0,4.60,4.00,5.60,105.00,40.00,Gasolina,3.0,,Turbo,Manual,6.0,81.0,110.0,200.0,195.0,10.20
SEAT,ARONA,5,2024,8375.0,C,12.0,30620.00,21890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4153.0,1780.0,1552.0,400.0,5.0,5.0,2566.0,1750.0,,,,,40.00,Gasolina,3.0,,Turbo,Automático,7.0,81.0,110.0,200.0,190.0,10.10
SEAT,ARONA,1,2022,68236.0,C,12.0,27990.00,19890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4138.0,1780.0,1552.0,400.0,5.0,5.0,2566.0,1760.0,4.80,4.40,5.40,115.00,40.00,Gasolina,4.0,1498.0,Turbo,Automático,7.0,110.0,150.0,250.0,210.0,8.20
MERCEDES-BENZ,CLASE C,3,2024,24966.0,ECO,12.0,49883.00,43890.00,AUTOS MOLIERE,Málaga,Andalucía,trasera,4751.0,1820.0,1437.0,,5.0,4.0,2865.0,2350.0,,,,,66.00,Diesel,4.0,1992.0,Turbo,Automático,9.0,120.0,163.0,380.0,230.0,7.70
SEAT,ARONA,1,2022,65654.0,C,12.0,27990.00,19790.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4138.0,1780.0,1552.0,400.0,5.0,5.0,2566.0,1760.0,4.80,4.40,5.40,115.00,40.00,Gasolina,4.0,1498.0,Turbo,Automático,7.0,110.0,150.0,250.0,210.0,8.20
SEAT,ARONA,1,2022,59290.0,C,12.0,27990.00,21480.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4138.0,1780.0,1552.0,400.0,5.0,5.0,2566.0,1760.0,4.80,4.40,5.40,115.00,40.00,Gasolina,4.0,1498.0,Turbo,Automático,7.0,110.0,150.0,250.0,210.0,8.20
SEAT,ARONA,5,2024,8605.0,C,12.0,30620.00,21690.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4153.0,1780.0,1552.0,400.0,5.0,5.0,2566.0,1750.0,,,,,40.00,Gasolina,3.0,,Turbo,Automático,7.0,81.0,110.0,200.0,190.0,10.10
SEAT,ARONA,5,2024,7581.0,C,12.0,30620.00,21890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4153.0,1780.0,1552.0,400.0,5.0,5.0,2566.0,1750.0,,,,,40.00,Gasolina,3.0,,Turbo,Automático,7.0,81.0,110.0,200.0,190.0,10.10
SEAT,ARONA,1,2022,59308.0,C,12.0,27990.00,21480.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4138.0,1780.0,1552.0,400.0,5.0,5.0,2566.0,1760.0,4.80,4.40,5.40,115.00,40.00,Gasolina,4.0,1498.0,Turbo,Automático,7.0,110.0,150.0,250.0,210.0,8.20
SEAT,ARONA,5,2024,12148.0,C,12.0,27810.00,19890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4153.0,1780.0,1552.0,400.0,5.0,5.0,2566.0,1730.0,,,,,40.00,Gasolina,3.0,,Turbo,Manual,6.0,81.0,110.0,200.0,190.0,10.30
SEAT,ARONA,1,2022,57580.0,C,12.0,27990.00,19580.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4138.0,1780.0,1552.0,400.0,5.0,5.0,2566.0,1760.0,4.80,4.40,5.40,115.00,40.00,Gasolina,4.0,1498.0,Turbo,Automático,7.0,110.0,150.0,250.0,210.0,8.20
SEAT,ARONA,1,2022,66706.0,C,12.0,27990.00,20890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4138.0,1780.0,1552.0,400.0,5.0,5.0,2566.0,1760.0,4.80,4.40,5.40,115.00,40.00,Gasolina,4.0,1498.0,Turbo,Automático,7.0,110.0,150.0,250.0,210.0,8.20
SEAT,ARONA,1,2022,64304.0,C,12.0,30370.00,20890.00,AUTOS MOLIERE,Málaga,Andalucía,delantera,4153.0,1780.0,1552.0,400.0,5.0,5.0,2566.0,1770.0,,,,,40.00,Gasolina,4.0,1498.0,Turbo,Automático,7.0,110.0,150.0,250.0,210.0,8.40
FORD,BRONCO,10,2023,19610.0,C,12.0,,128000.00,HOUSIN AMERICAN CARS,Sevilla,Andalucía,,,,,,,,,,,,,,,,,,,Automático,,315.0,423.0,,,
