marca,modelo,mes_matriculacion,ano_matriculacion,kilometraje,distintivo_ambiental,garantia,precio_nuevo,precio_contado,concesionario,provincia,comunidad_autonoma,tipo_traccion,largo,ancho,alto,capacidad_maletero,num_plazas,num_puertas,batalla,peso,consumo_medio,consumo_carretera,consumo_urbano,co2,deposito,combustible,num_cilindros,cilindrada,sobrealimentacion,tipo_cambio,num_marchas,potencia_kw,potencia_cv,par,velocidad_max,aceleracion
LAND-ROVER,RANGE ROVER VELAR,7,2021,21603.0,ECO,12.0,77150.00,47590.00,CLICARS MADRID,Madrid,Madrid,total permanente,4797.0,2041.0,1678.0,748.0,5.0,5.0,2874.0,2590.0,5.30,3.70,6.90,139.00,60.00,Diesel,4.0,1997.0,Turbo de geometría variable,Automático,8.0,150.0,204.0,430.0,210.0,8.20
LAND-ROVER,RANGE ROVER VELAR,4,2021,45562.0,C,12.0,79650.00,55190.00,CLICARS MADRID,Madrid,Madrid,total permanente,4797.0,2041.0,1683.0,748.0,5.0,5.0,2874.0,2550.0,7.70,5.40,10.00,174.00,82.00,Gasolina,4.0,1997.0,Turbo,Automático,8.0,184.0,250.0,365.0,217.0,7.50
LAND-ROVER,RANGE ROVER SPORT,11,2019,57095.0,0 EMISIONES,12.0,92800.00,54490.00,CLICARS MADRID,Madrid,Madrid,total permanente,4879.0,1983.0,1803.0,780.0,5.0,5.0,2923.0,3200.0,3.40,,,72.00,90.00,Híbrido Enchufable,4.0,1997.0,Turbo,Automático,8.0,297.0,404.0,640.0,220.0,6.70
BMW,SERIE 3,9,2009,268000.0,B,12.0,37900.00,7950.00,COCHES AMB,Madrid,Madrid,trasera,4520.0,1817.0,1418.0,460.0,5.0,5.0,2760.0,2045.0,4.90,4.20,6.10,128.00,61.00,Diesel,4.0,1995.0,Turbo,Manual,6.0,130.0,177.0,350.0,228.0,8.10
KIA,STONIC,1,2023,57368.0,C,12.0,20900.00,15990.00,CLICARS MADRID,Madrid,Madrid,delantera,4140.0,1760.0,1500.0,352.0,5.0,5.0,2580.0,1600.0,,,,123.00,45.00,Gasolina,4.0,1197.0,,Manual,5.0,62.0,84.0,118.0,165.0,13.50
MERCEDES-BENZ,CLASE GLC,7,2024,2962.0,ECO,36.0,65204.00,76800.00,STERN MOTOR,Barcelona,Cataluña,total permanente,4764.0,1890.0,1605.0,545.0,5.0,5.0,2873.0,2510.0,,,,,62.00,Gasolina,4.0,1999.0,Turbo,Automático,9.0,150.0,204.0,320.0,227.0,7.90
MERCEDES-BENZ,CLASE A,2,2024,5.0,C,36.0,81301.00,82000.00,STERN MOTOR,Barcelona,Cataluña,total permanente,4445.0,1850.0,1412.0,370.0,5.0,5.0,2729.0,2130.0,8.40,5.80,10.90,192.00,51.00,Gasolina,4.0,1991.0,Turbo,Automático,8.0,310.0,422.0,500.0,270.0,3.90
MERCEDES-BENZ,CLASE CLA,6,2024,2543.0,0 EMISIONES,36.0,52100.00,48900.00,STERN MOTOR,Barcelona,Cataluña,delantera,4688.0,1830.0,1450.0,395.0,5.0,4.0,2729.0,2215.0,,,,,35.00,Híbrido Enchufable,4.0,1332.0,Turbo,Automático,8.0,160.0,218.0,270.0,229.0,7.60
MERCEDES-BENZ,CLASE B,4,2024,2969.0,ECO,36.0,44630.00,41500.00,STERN MOTOR,Barcelona,Cataluña,delantera,4419.0,1796.0,1562.0,455.0,5.0,5.0,2729.0,2000.0,,,,,43.00,Gasolina,4.0,1332.0,Turbo,Automático,7.0,120.0,163.0,270.0,223.0,8.40
MERCEDES-BENZ,CLASE B,7,2024,3404.0,0 EMISIONES,36.0,49529.00,45000.00,STERN MOTOR,Barcelona,Cataluña,delantera,4419.0,1796.0,1574.0,405.0,5.0,5.0,2729.0,2240.0,,,,,35.00,Híbrido Enchufable,4.0,1332.0,Turbo,Automático,8.0,160.0,218.0,450.0,223.0,7.60
