,id_provincia,kilometraje,id_concesionario,id_distintivo_ambiental,garantia,precio_contado,precio_nuevo,largo,ancho,alto,capacidad_maletero,id_carroceria,num_plazas,batalla,peso,num_puertas,consumo_medio,consumo_carretera,consumo_urbano,deposito,combustible,cilindrada,num_marchas,potencia_kw,potencia_cv,par,velocidad_max,aceleracion,mes_matriculacion,ano_matriculacion,co2,num_cilindros,id_sobrealimentacion,id_marca,id_modelo,id_tipo_cambio
22,8,86600,10,2,12.0,24900.0,47110.0,4297.0,1822.0,1559.0,405.0,4,5.0,2.67,2.27,5,1.7,0.0,0.0,36.0,2,1.499,6.0,162.0,220.0,385.0,196.0,6.8,6,2021,40.0,3.0,3,15,22,1
23,8,66400,10,2,12.0,35900.0,55490.0,4410.0,1834.0,1613.0,385.0,4,5.0,2.729,2.295,5,1.6,0.0,0.0,35.0,2,1.332,8.0,160.0,218.0,230.0,220.0,7.1,8,2021,38.0,4.0,3,10,16,1
24,8,98000,10,1,12.0,29900.0,45949.0,4191.0,1832.0,1353.0,305.0,7,4.0,2.505,1.705,2,5.9,5.0,7.3,50.0,1,1.984,7.0,145.0,197.0,320.0,250.0,6.6,7,2020,137.0,4.0,3,16,23,1
25,8,51600,10,2,12.0,49900.0,64464.0,4751.0,1820.0,1454.0,360.0,5,5.0,2.84,2.655,5,0.0,0.0,0.0,50.0,2,1.999,9.0,230.0,313.0,550.0,240.0,6.2,7,2022,,4.0,3,10,24,1
26,8,85000,10,2,12.0,47900.0,70689.0,4732.0,1890.0,1602.0,500.0,7,5.0,2.873,2.61,5,2.2,0.0,0.0,66.0,2,1.991,9.0,235.0,320.0,700.0,230.0,5.7,9,2020,51.0,4.0,3,10,25,1
27,10,185000,14,1,12.0,18990.0,37825.0,4424.0,1804.0,1494.0,421.0,4,5.0,2.699,2.035,5,5.5,5.0,6.5,50.0,3,2.143,7.0,100.0,136.0,300.0,205.0,9.1,4,2018,147.0,4.0,2,10,26,1
28,10,138000,14,1,12.0,35990.0,83210.0,4879.0,1983.0,1803.0,780.0,4,5.0,2.923,3.05,5,7.0,6.4,7.9,86.0,3,2.993,8.0,185.0,249.0,700.0,209.0,7.3,1,2019,199.0,6.0,3,8,27,1
29,8,106000,10,1,12.0,59900.0,92684.0,4726.0,1922.0,1621.0,458.0,4,5.0,2.807,2.58,5,0.0,0.0,0.0,65.0,1,2.894,7.0,280.0,380.0,520.0,259.0,4.8,7,2021,,6.0,3,1,28,1
30,8,180000,10,1,12.0,27900.0,70450.0,4886.0,1938.0,1762.0,650.0,4,5.0,2.933,2.78,5,5.9,5.5,6.7,85.0,3,2.993,8.0,190.0,258.0,560.0,230.0,6.8,7,2016,156.0,6.0,2,9,29,1
31,8,500,10,3,,49900.0,,,,,,3,,,,5,,,,,6,,,,163.0,,,,6,2024,,,4,16,30,1
32,8,8348,15,1,24.0,75900.0,91250.0,4580.0,1887.0,1403.0,390.0,7,4.0,2.747,2.155,2,0.0,0.0,0.0,52.0,1,2.993,8.0,338.0,460.0,550.0,250.0,4.1,2,2024,,6.0,3,9,31,1
33,8,87894,15,1,24.0,32900.0,41000.0,4526.0,1800.0,1420.0,430.0,7,5.0,2.67,1.985,4,4.2,2.9,5.4,42.0,3,1.995,6.0,110.0,150.0,350.0,222.0,8.6,8,2021,109.0,4.0,2,9,32,2
34,8,19555,15,1,24.0,32900.0,37300.0,4319.0,1799.0,1434.0,380.0,2,5.0,2.67,1.95,5,4.1,3.8,4.8,42.0,3,1.995,6.0,110.0,150.0,350.0,211.0,8.5,2,2024,108.0,4.0,2,9,33,2
35,8,12,15,2,24.0,40900.0,45250.0,4445.0,1843.0,1635.0,460.0,4,5.0,2.692,2.435,5,0.0,0.0,0.0,0.0,4,,1.0,150.0,204.0,250.0,170.0,8.6,9,2024,,,5,15,34,2
36,3,12795,16,1,36.0,18695.0,,,,,,8,,,1.26,5,5.0,50.0,75.0,,1,,6.0,,100.0,,,,12,2020,,,4,17,35,2
