id_provincia,link_coche,fecha_extraccion,kilometraje,id_concesionario,id_distintivo_ambiental,garantia,precio_contado,precio_nuevo,largo,ancho,alto,capacidad_maletero,num_plazas,batalla,peso,num_puertas,consumo_medio,consumo_carretera,consumo_urbano,deposito,combustible,cilindrada,tipo_cambio,id_traccion,num_marchas,potencia_kw,potencia_cv,par,velocidad_max,aceleracion,mes_matriculacion,ano_matriculacion,co2,num_cilindros,id_sobrealimentacion,id_marca,id_modelo
Madrid,https://www.autocasion.com/coches-segunda-mano/land-rover-range-rover-evoque-ocasion/evoque-2-0d150-s-awd-aut-150-ref14418197,25/11/2024,116428,CLICARS MADRID,ECO,12.0,27290.0,51460.0,4371.0,1996.0,1649.0,591.0,5,2681,2490,5,5.6,5.1,6.6,67.0,Diesel,1999,Automático,total permanente,9,110,150,380,196,11.2,6,2020,142.0,4,Turbo de geometría variable,LAND-ROVER,RANGE ROVER EVOQUE
Madrid,https://www.autocasion.com/coches-segunda-mano/land-rover-range-rover-evoque-ocasion/evoque-2-0d150-s-awd-aut-150-ref14423454,25/11/2024,45271,CLICARS MADRID,ECO,12.0,31690.0,51460.0,4371.0,1996.0,1649.0,591.0,5,2681,2490,5,5.6,5.1,6.6,67.0,Diesel,1999,Automático,total permanente,9,110,150,380,196,11.2,11,2020,142.0,4,Turbo de geometría variable,LAND-ROVER,RANGE ROVER EVOQUE
Madrid,https://www.autocasion.com/coches-segunda-mano/land-rover-range-rover-evoque-ocasion/evoque-2-0d150-s-awd-aut-150-ref14470113,25/11/2024,114001,CLICARS MADRID,ECO,12.0,26990.0,51460.0,4371.0,1996.0,1649.0,591.0,5,2681,2490,5,5.6,5.1,6.6,67.0,Diesel,1999,Automático,total permanente,9,110,150,380,196,11.2,6,2020,142.0,4,Turbo de geometría variable,LAND-ROVER,RANGE ROVER EVOQUE
Madrid,https://www.autocasion.com/coches-segunda-mano/hyundai-i30-ocasion/i30-2-0-tgdi-n-project-c-275-ref14886316,25/11/2024,31900,AUTOGALLERY PREMIUM,C,12.0,44900.0,51450.0,4335.0,1795.0,1447.0,381.0,5,2650,1910,5,7.7,6.3,10.2,50.0,Gasolina,1998,Manual,delantera,6,202,275,378,250,6.0,4,2021,176.0,4,Turbo,HYUNDAI,I30
Madrid,https://www.autocasion.com/coches-segunda-mano/land-rover-range-rover-evoque-ocasion/evoque-1-5-i3-phev-se-awd-auto-ref12519560,25/11/2024,28320,CLICARS MADRID,0 EMISIONES,12.0,45690.0,65350.0,4371.0,1996.0,1649.0,472.0,5,2681,2742,5,1.9,,,57.0,Híbrido Enchufable,1497,Automático,total permanente,8,227,308,540,213,6.4,9,2022,43.0,3,Turbo,LAND-ROVER,RANGE ROVER EVOQUE
Madrid,https://www.autocasion.com/coches-segunda-mano/land-rover-range-rover-velar-ocasion/2-0d-i4-150kw-204cv-s-4wd-auto-165e9e9bf6835a-ref12394603,25/11/2024,21603,CLICARS MADRID,ECO,12.0,47590.0,77150.0,4797.0,2041.0,1678.0,748.0,5,2874,2590,5,5.3,3.7,6.9,60.0,Diesel,1997,Automático,total permanente,8,150,204,430,210,8.2,7,2021,139.0,4,Turbo de geometría variable,LAND-ROVER,RANGE ROVER VELAR
Madrid,https://www.autocasion.com/coches-segunda-mano/land-rover-range-rover-velar-ocasion/velar-2-0-si4-r-dynamic-s-4wd-aut-250-ref11785853,25/11/2024,45562,CLICARS MADRID,C,12.0,55190.0,79650.0,4797.0,2041.0,1683.0,748.0,5,2874,2550,5,7.7,5.4,10.0,82.0,Gasolina,1997,Automático,total permanente,8,184,250,365,217,7.5,4,2021,174.0,4,Turbo,LAND-ROVER,RANGE ROVER VELAR
Madrid,https://www.autocasion.com/coches-segunda-mano/land-rover-range-rover-sport-ocasion/rr-sport-2-0-si4-phev-se-404-ref13803395,25/11/2024,57095,CLICARS MADRID,0 EMISIONES,12.0,54490.0,92800.0,4879.0,1983.0,1803.0,780.0,5,2923,3200,5,3.4,,,90.0,Híbrido Enchufable,1997,Automático,total permanente,8,297,404,640,220,6.7,11,2019,72.0,4,Turbo,LAND-ROVER,RANGE ROVER SPORT
Madrid,https://www.autocasion.com/coches-segunda-mano/bmw-serie-3-ocasion/320d-touring-4-ref14770205,25/11/2024,268000,COCHES AMB,B,12.0,7950.0,37900.0,4520.0,1817.0,1418.0,460.0,5,2760,2045,5,4.9,4.2,6.1,61.0,Diesel,1995,Manual,trasera,6,130,177,350,228,8.1,9,2009,128.0,4,Turbo,BMW,SERIE 3
Madrid,https://www.autocasion.com/coches-segunda-mano/kia-stonic-ocasion/stonic-1-2-dpi-concept-84-ref14865361,25/11/2024,57368,CLICARS MADRID,C,12.0,15990.0,20900.0,4140.0,1760.0,1500.0,352.0,5,2580,1600,5,,,,45.0,Gasolina,1197,Manual,delantera,5,62,84,118,165,13.5,1,2023,123.0,4,,KIA,STONIC
Barcelona,https://www.autocasion.com/coches-km0/km-0/mercedes-benz-clase-glc-km0/glc-coupe-200-4matic-9g-tronic-1-ref14737132,25/11/2024,2962,STERN MOTOR,ECO,36.0,76800.0,65204.0,4764.0,1890.0,1605.0,545.0,5,2873,2510,5,,,,62.0,Gasolina,1999,Automático,total permanente,9,150,204,320,227,7.9,7,2024,,4,Turbo,MERCEDES-BENZ,CLASE GLC
Barcelona,https://www.autocasion.com/coches-km0/km-0/mercedes-benz-clase-a-km0/a-45-s-amg-4matic-8g-dct-ref12452618,25/11/2024,5,STERN MOTOR,C,36.0,82000.0,81301.0,4445.0,1850.0,1412.0,370.0,5,2729,2130,5,8.4,5.8,10.9,51.0,Gasolina,1991,Automático,total permanente,8,310,422,500,270,3.9,2,2024,192.0,4,Turbo,MERCEDES-BENZ,CLASE A
Barcelona,https://www.autocasion.com/coches-km0/km-0/mercedes-benz-clase-cla-km0/cla-250e-8g-dct-1-ref14737130,25/11/2024,2543,STERN MOTOR,0 EMISIONES,36.0,48900.0,52100.0,4688.0,1830.0,1450.0,395.0,5,2729,2215,4,,,,35.0,Híbrido Enchufable,1332,Automático,delantera,8,160,218,270,229,7.6,6,2024,,4,Turbo,MERCEDES-BENZ,CLASE CLA
Barcelona,https://www.autocasion.com/coches-km0/km-0/mercedes-benz-clase-b-km0/b-200-5-ref14746182,25/11/2024,2969,STERN MOTOR,ECO,36.0,41500.0,44630.0,4419.0,1796.0,1562.0,455.0,5,2729,2000,5,,,,43.0,Gasolina,1332,Automático,delantera,7,120,163,270,223,8.4,4,2024,,4,Turbo,MERCEDES-BENZ,CLASE B
Barcelona,https://www.autocasion.com/coches-km0/km-0/mercedes-benz-clase-b-km0/b-250e-ref14800202,25/11/2024,3404,STERN MOTOR,0 EMISIONES,36.0,45000.0,49529.0,4419.0,1796.0,1574.0,405.0,5,2729,2240,5,,,,35.0,Híbrido Enchufable,1332,Automático,delantera,8,160,218,450,223,7.6,7,2024,,4,Turbo,MERCEDES-BENZ,CLASE B
Barcelona,https://www.autocasion.com/coches-km0/km-0/mercedes-benz-clase-a-km0/a-250e-8g-dct-ref13073797,25/11/2024,1926,STERN MOTOR,0 EMISIONES,36.0,40500.0,42521.0,4419.0,1796.0,1452.0,310.0,5,2729,2155,5,1.4,,,35.0,Híbrido Enchufable,1332,Automático,delantera,8,160,218,450,235,6.6,1,2024,32.0,4,Turbo,MERCEDES-BENZ,CLASE A
Barcelona,https://www.autocasion.com/coches-km0/km-0/mercedes-benz-clase-e-km0/e-coupe-220d-9g-tronic-2-ref13156153,25/11/2024,3360,STERN MOTOR,C,24.0,66000.0,72218.0,4835.0,1860.0,1430.0,425.0,4,2873,2340,2,,,,66.0,Diesel,1950,Automático,trasera,9,143,194,400,234,7.6,1,2024,,4,Turbo de geometría variable,MERCEDES-BENZ,CLASE E
Barcelona,https://www.autocasion.com/coches-km0/km-0/mercedes-benz-eqe-km0/eqe-350-1-ref14228465,25/11/2024,3945,STERN MOTOR,0 EMISIONES,36.0,67300.0,73744.0,4946.0,1936.0,1510.0,430.0,5,3120,2895,4,,,,,Eléctrico,,Automático,trasera,1,215,292,565,210,6.4,8,2023,,,,MERCEDES-BENZ,EQE
Barcelona,https://www.autocasion.com/coches-segunda-mano/mercedes-benz-eqa-ocasion/eqa-300-4matic-ref14717065,25/11/2024,6731,STERN MOTOR,0 EMISIONES,36.0,44800.0,59540.0,4463.0,1834.0,1624.0,340.0,5,2729,2535,5,,,,,Eléctrico,,Automático,total permanente,1,168,228,390,160,7.7,11,2023,,,,MERCEDES-BENZ,EQA
Barcelona,https://www.autocasion.com/coches-segunda-mano/mercedes-benz-eqs-suv-ocasion/eqs-580-4matic-1-ref14790253,25/11/2024,8339,STERN MOTOR,0 EMISIONES,36.0,123500.0,172580.0,5125.0,1959.0,1718.0,645.0,5,3210,3375,5,,,,,Eléctrico,,Automático,total permanente,1,400,544,858,210,4.6,5,2023,,,,MERCEDES-BENZ,EQS SUV
Barcelona,https://www.autocasion.com/coches-km0/km-0/mercedes-benz-eqe-suv-km0/eqe-amg-43-4matic-ref9020157,25/11/2024,2259,STERN MOTOR,0 EMISIONES,24.0,103500.0,104103.0,4946.0,1936.0,1495.0,430.0,5,3120,3095,4,,,,,Eléctrico,,Automático,total permanente,1,350,476,858,210,4.2,2,2023,,,,MERCEDES-BENZ,EQE
Barcelona,https://www.autocasion.com/coches-km0/km-0/mercedes-benz-eqs-km0/eqs-580-4matic-ref10519789,25/11/2024,2726,STERN MOTOR,0 EMISIONES,24.0,113000.0,159508.0,5216.0,1926.0,1512.0,610.0,5,3210,3060,5,,,,,Eléctrico,,Automático,total permanente,1,385,523,858,210,4.3,5,2023,,,,MERCEDES-BENZ,EQS
Barcelona,https://www.autocasion.com/coches-km0/km-0/mercedes-benz-clase-sl-km0/amg-sl-63-4matic-aut-ref14485649,25/11/2024,5,STERN MOTOR,ECO,36.0,230800.0,226906.0,4705.0,1915.0,1354.0,213.0,2,2700,2320,2,,,,70.0,Gasolina,3982,Automático,total permanente,9,430,584,800,315,3.6,8,2024,,8,Turbo,MERCEDES-BENZ,CLASE SL
Barcelona,https://www.autocasion.com/coches-km0/km-0/mercedes-benz-clase-cla-km0/cla-220d-2-ref14659053,25/11/2024,3715,STERN MOTOR,C,36.0,48000.0,45894.0,4688.0,1830.0,1427.0,445.0,5,2729,2100,4,,,,51.0,Diesel,1950,Automático,delantera,8,140,190,400,244,7.3,6,2024,,4,Turbo de geometría variable,MERCEDES-BENZ,CLASE CLA
Barcelona,https://www.autocasion.com/coches-km0/km-0/mercedes-benz-clase-b-km0/b-250e-ref14665429,25/11/2024,4407,STERN MOTOR,0 EMISIONES,36.0,45000.0,49529.0,4419.0,1796.0,1574.0,405.0,5,2729,2240,5,,,,35.0,Híbrido Enchufable,1332,Automático,delantera,8,160,218,450,223,7.6,6,2024,,4,Turbo,MERCEDES-BENZ,CLASE B
Barcelona,https://www.autocasion.com/coches-km0/km-0/mercedes-benz-clase-cla-km0/cla-200d-3-ref14678385,25/11/2024,4490,STERN MOTOR,C,36.0,48400.0,45564.0,4688.0,1830.0,1427.0,445.0,5,2729,2085,4,,,,43.0,Diesel,1950,Automático,delantera,8,110,150,320,226,8.5,4,2024,,4,Turbo de geometría variable,MERCEDES-BENZ,CLASE CLA
Barcelona,https://www.autocasion.com/coches-segunda-mano/mercedes-benz-clase-gle-ocasion/gle-300d-4matic-aut-3-ref14336993,25/11/2024,28382,STERN MOTOR,ECO,36.0,88000.0,91189.0,4924.0,2010.0,1797.0,630.0,5,2995,2970,5,,,,85.0,Diesel,1993,Automático,total permanente,9,198,269,550,230,6.9,12,2023,,4,Turbo de geometría variable,MERCEDES-BENZ,CLASE GLE
Barcelona,https://www.autocasion.com/coches-segunda-mano/mercedes-benz-clase-gla-ocasion/gla-250e-1-ref14686805,25/11/2024,11134,STERN MOTOR,0 EMISIONES,36.0,43800.0,55550.0,4412.0,1834.0,1609.0,385.0,5,2729,2300,5,,,,35.0,Híbrido Enchufable,1332,Automático,delantera,8,160,218,450,210,7.9,12,2023,,4,Turbo,MERCEDES-BENZ,CLASE GLA
