id_concesionario,nombre_concesionario
200,TOYOTA VALENCIA (Sakurauto S.A.)
201,LUXEMOTOR
202,LEXUS MADRID OCASION Y SEMINUEVOS
203,REYES Y MARTINEZ AUTOMOVILES
204,AUTOVIDAL
205,TOYOTA ARTAL 
206,FERIAMOTOR
207,Peugeot 
208,"CAETANO MOVIL SUR, concesionario oficial KIA"
209,AUTOS LA TORRE
210,Jose Autos
211,"PINIAUTO MOTOR, S.L (VALDEMORO)"
212,ATLANTICENT
213,DMG VEHÍCULOS
214,BECO AUTOMOCION
215,TALLERES ESTEVE
216,Autos Moreno
217,RACER MOTOR.
218,SV CARS
219,AUTOS COZAR ESTEPONA
220,HASSEN MOTOR S.L. (ALCALÁ)
221,RACAR Automocion
222,FORD EASO MOTOR
223,"VOLVO VYPSA, Volvo Málaga"
224,SHELTER GARAGE
225,AUTOMOVILES J.M.S.
226,VALENZA MÁLAGA
227,Vendemeya
228,JRPARTS
229,RODOVIGO
230,VIPCar Autos
231,SANTA BARBARA AUTOS
232,Jacars Performance
233,LLINARS CARS
234,VEHICULOS MUNDOAUTO
235,E
236,AB CARS LLEIDA
237,GYSA CÓRDOBA
238,"GONZACAR, concesionario oficial Ford"
239,TN AUTOSPORT
240,KOBE MOTOR MAJADAHONDA
241,RENAULT BLAS SERNA
242,OK MOBILITY BARCELONA
243,MOTOR OCASION BARCELONA
244,AUDI VILAMÒBIL
245,PROA OCASION IBIZA
246,"VOLVO VYPSA, Volvo "
247,VIDAL DE LA PEÑA AUTOMÓVILES
248,YAMOVIL
249,VOLVO SEDAUTO
250,VOLVO TURISMES VALLÈS
251,FORD BLENDIO ALISAUTO
252,KARFER MOTOR
253,OCASIONPLUS BILBAO.
254,Sansacar
255,EXPOAUTO06
256,AUTOS VEIMCO Avilés
257,TOYOTA ZARAGOZA
258,AUTOS JUMAR
259,AUTO TALLERES SERRANO
260,AUTOS DAGANZO
261,TOT AUTO MRS CORNELLÀ
262,TREVAUTO
263,GARACARS
264,HERNANDEZ MOTOR
265,TUMATEIX
266,TALLER DREICAR
267,BMW MINI BURGOCAR
268,"GONZACAR, S.L."
269,BETULO GLOBAL
270,STELLANTIS &YOU HUELVA
271,DARUKA AUTOMOVILES
272,CARPENTUM AUTOMOTIVE
273,VIAN OCASIÓN LAS ROZAS
274,AUTOCARSCLIENT
275,AUTOMÓVILES LOUZAO
276,LB2motor
277,CARSFOREAL
278,VEHÍCULOS DE CALIDAD
279,BMW MOVIL BEGAR
280,TALLERES SAN MARIANO
281,INDESE VEHÍCULOS INDUSTRIALES
282,AUTO BENAMAR
283,"AUDI AUTOGANDARA, S.L."
284,HAPPY CAR
285,MAYCARS
286,MC AUTO
287,PETREN COCHES
288,DAJOALAUTO
289,Economiccars
290,"CAMPOS (MIGUEL CAMPOS MOTOR, S.L.)"
291,FORD AUTOMOCIO BERTRAN
292,VIAN OCASIÓN COLLADO
293,Renault Marcos Automoción Murcia
294,DS Marcos Automoción Alicante
295,Citroen Marcos Automoción Murcia
296,BMW/Mini Marcos Automoción Murcia
297,RIAUTO
298,STELLANTIS & YOU SEVILLA 
299,VICO AUTOMÓVILES
300,VOLVO CARWAGEN Vehículos de Ocasión
301,AUTOS SALVA
302,EXPOAUTO
303,STELLANTIS &YOU VIGO
304,CYM AUTO SPORT
305,MANCHA CARS
306,Fotocoche.net
307,ALZ
308,SPORT CARS PREMIUM
309,STELLANTIS &YOU MADRID 
310,QUALITY CARS
311,Autocaravanasycoches.com
312,AUTOFESA
313,VALENZA CORDOBA
314,AGUILERA AUTOCENTROS
315,AGRISA
316,3D WORLD SPAIN
317,ICARS
318,IDILICAR 
319,BMW MOVILNORTE
320,"TELENAUTO, Audi y Volkswagen"
321,ARAMÓVIL
322,"AUTOSER,concesionario oficial Honda"
323,DZ AUTOS
324,GAMBOA OCASION
325,AUTOMOVILES MARTIN
326,LIDER AUTO
327,FRANCISCO JOSE ALVAREZ RIVADENEIRA
328,SUPERWAGEN AUDI
329,AUTOMOVILES M. LOSADA S.L
330,"HYUNDAI SENCO MOTOR, S.A"
331,DCL CARS
332,BMW CERES MOTOR
333,"MAJADAHONDA MOTOR, S.A."
334,GARAGE REAL
335,THE GARAGE MARBELLA
336,COMERCIAL VICTOR
337,JM MOTOR
338,2015 GESTIO MOTORS
339,Very Vip Cars
340,AUTO BOSS
341,HIDALAUTO..
342,ALENMOCAR
343,MOTOR EQUIP
344,Mallorca Car Keeper
345,"MOVILCAR, concesionario oficial Jaguar"
346,GRUPO JULIAN AUTOMOTIVE Ocasión
347,AUTOMOVILES HERNANDEZ
348,PUNTOMOTOR TENERIFE
349,PRIORAUTO
350,AUTOS AVILA SUR
351,SOLBERICAR AUTOMOCIÓN
352,ESCAR AUTOMOVILES
353,COMPRAVENTA BARRIENTOS
354,BMW MINI TRIOCAR
355,AUTOS MORALES ESURY
356,AUTOMOVILES ESTELRICH.
357,CHEISER AUTOMOVILES
358,CORGAL AUTOMOVILES
359,CARS AUTO
360,AUTOCARS
361,ESTELLER IMPORT
362,INTEGRAL MOTION MADRID
363,RIOJA MOTOR 
364,ICICAR AUTO
365,FORD AUTOFORMA
366,AUDI CENTER ZARAGOZA
367,DMG AUTOMOVILES
368,AUNORSA
369,Hyundai Syrluz Syrsa
370,Mundicars
371,STELLANTIS &YOU MÓSTOLES
372,YAS MOTOR
373,AUTOMOVILES SEPTIMA AVENIDA
374,ROFERVIGO
375,GIJONCARS
376,HYUNDAI SPORT AUTOMOCIÓN
377,DM CARS
378,BREOGAN OCASIÓN CORUÑA
379,AUTOSELECT
380,SATRA
381,ULSAN MOTOR
382,NOU MOTOR
383,LEXUS MAJADAHONDA NUEVOS
384,AUTO SPRINT
385,CENTROVE GESTIÓN S.L
386,"MAVEN E HIJOS, concesionario oficial Ford"
387,KEYGO CARS
388,CARPLUS SEVILLA
389,AUTOS ROSO LAS PALMAS
390,LEVORE COLLECTION
391,QUADIS Autolica 
392,AUTOMÓVILES ALFAFAR
393,BRUSELAS MOTOR S.L
394,CENTRO PORSCHE MARBELLA
395,"AUTO ELIA, Volvo (SEDE PRINCIPAL)"
396,Ditram Monforte | Foz | Automotor10
397,Holamotor Málaga
398,HOLAMOTOR ALMERIA
399,MOLINA HERMANOS VEHICULOS
400,TALLERES QUART (Renault)
401,CLASSIC CARS DEL SUR
402,Holamotor Córdoba
403,MEURI OCASION
404,HONDA QUADIS IBERTECNO VALENCIA
405,AUTOMÓVILES SERRABLO
406,MERCEDES AGREDA AUTOMOVIL S.A.
407,"DANIEL ROVIRA, concesionario oficial Opel"
408,AUTOS JOSE MIGUEL
409,BMW BERNESGA MOTOR
410,"TERRENAUTO, concesionario oficial Mercedes"
411,ESMICOCHE.COM
412,AUTOMOVILES GABILONDO
413,Hyundai Marcos Automoción Valencia
414,AUTOS PARQUE FERIA
415,CLICK AUTOS MENORCA
416,F. Tomé
417,Clidrive Group
418,Kia Marcos Automoción Valencia
419,AUTOS COZAR CADIZ
420,"ALHAMBRA AUTOMOVILES, S.A."
421,NUCESA
422,VALLADOLID WAGEN
423,CARSOL
424,CARZA OCASIÓN
425,BMW AUTOPREMIER.
426,BMW HISPAMOVIL
427,F. TOMÉ GUADALAJARA
428,MERCEDES
429,MANDEL MOTOR BADAJOZ
430,AUTOGRADO
431,AUTOMOVILES CERVERA
432,EMOTICAR
433,AUTOS CARRETERO 4X4
434,VALLPARK MOTORS
435,TAYRE AUTOMOCION
436,JAGUAR Y LAND ROVER CARWAGEN 4X4
437,AUTOMÓVILES SÁNCHEZ Concesionario Oficial
438,TARTIERE AUTO
439,STELLANTIS & YOU ALMERÍA
440,DREAM CARS
441,CENTRAL SEMINUEVOS KM 0
442,FRAMACAR AUTOMOVILES
443,BETA MOTOR CARS
444,GRUPO VELAZQUEZ SEVILLA
445,AUTOMOVILES CERVERA SALAMANCA
446,DVF SERVICES
447,CAETANO FORMULA CADIZ
448,DURMOVIL
449,VOLKSWAGEN HELMANTICA SALAMANCA
450,C. DE SALAMANCA
451,KIA TALLERES M. GALLEGO
452,CAETANO MOTORS CADIZ
453,FORD ROMACAR ABS
454,CARSYDREU.com
455,MCM CARS
456,GESTICAN AUTOMÓVILES
457,WAGEN MOTORS
458,SEAT TURIAL
459,VALENTIA AUTORES
460,AUDI SELECTION PLUS
461,BYmyCAR Madrid
462,BMW VEHINTER
463,AUTOMOVILES CERVERA MADRID
464,AUDI CENTER PALMA
465,CARPLUS PARLA
466,"AUTOS J. RIVADA R., S.L.U."
467,AUTOHERO BARCELONA
468,"Automotor Costa, S.L.U."
469,SOTILEZA MOTOR
470,AUTO ESTELLER TORTOSA
471,SEAT AUTO ESTELLER
472,JESUS MESTA
473,SELLCARS IBERICA
474,ENZO AUTOMOCION LLEIDA SL
475,CHIQUERO AUTOMOCIÓN
476,SANZ AUTOMOBILE
477,HCM PROFEAUTO
478,VIMACAR DELUXE
479,EUROCOCHE ASPE
480,"PERITACIONES AUTOVENTA A PROFESIONALES,S.L"
481,BMW BERTOLIN
482,GT CARS PREMIUM LAS PALMAS
483,"TAES MOTOR, S.A., concesionario oficial Seat"
484,"CORMOSA, concesionario oficial Seat"
485,"CAETANO BENET, concesionario Of Mercedes"
486,AUDI ALZAGA MOTOR
487,OCASIONPLUS ELCHE
488,"MUNDIAUTO 2000, S.L."
489,OCASIONPLUS LA MAQUINISTA
490,CAETANO FORMULA A ESTRADA
491,OCASIONPLUS PUERTO DE SANTA MARÍA
492,BATTINVER CONCESIONARIO VOLVO EN MADRID
493,OCASIONPLUS VILAFRANCA
494,OCASIONPLUS SANTIAGO DE COMPOSTELA
495,OCASIONPLUS FUENLABRADA
496,"CAETANO MOVIL, concesionario oficial KIA (VO)"
497,OCASIONPLUS CACERES
498,OCASIONPLUS A CORUÑA
499,OCASIONPLUS FERROL
500,AUTOMOVILES CANALCAR
501,OCASIONPLUS JAEN
502,OCASIONPLUS MALAGA
503,OCASIONPLUS HUELVA
504,OCASIONPLUS OVIEDO
505,OCASIONPLUS ALMERÍA
506,MIÑA CAR
507,MOTOR PACIFICO AVILA
508,OCASIONPLUS ALMERÍA EL EJIDO
509,SPOTICAR AUTO RALLYE
510,OCASIONPLUS MANZANARES
511,SUPERWAGEN DasWeltAuto
512,OCASIONPLUS IGUALADA
513,OCASIONPLUS BADALONA
514,OCASIONPLUS MÉRIDA
515,OCASIONPLUS GIRONA
516,OCASIONPLUS MATARÓ
517,VALENCIA VOLKSWAGEN
